page_id,text
0, Plus
1, Become a Seller
2, Cart
3, Electronics
4, TVs & Appliances
5, Men
6, Women
7, Baby & Kids
8, Home & Furniture
9, Sports, Books & More
10,
11, Share
12, Share
13, Share
14, WAAN 
15, shoes Walking Shoes For Men  (Multicolor)
16, Special price
17, 77% off
18, 3.9
19, 67,085 ratings and 7,052 reviews
20, 67,085 ratings and 7,052 reviews
21, Bank Offer10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and aboveT&C
22, Bank Offer
23, 10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above
24, T&C
25, Bank Offer10% off on Citi-branded Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and aboveT&C
26, Bank Offer
27, 10% off on Citi-branded Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above
28, T&C
29, Bank Offer8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and aboveT&C
30, Bank Offer
31, 8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above
32, T&C
33, Special PriceGet extra 21% off (price inclusive of cashback/coupon)T&C
34, Special Price
35, Get extra 21% off (price inclusive of cashback/coupon)
36, T&C
37, +4 more offers
38, Deliver to
39, Check
40, 3 Feb, Saturday
41, |
42, Free
43, ?
44, View Details
45, ?
46, Color
47, Please select a Color to proceed
48, Size- UK/India
49, Size Chart
50, Please select a Size- UK/India to proceed
51, Seller
52, WadhwaShoesCompany4
53, WadhwaShoesCompany
54, ?
55, 3.9
56, 67,085 ratings and 7,052 reviews
57, 67,085 ratings and 7,052 reviews
58, Rate Product
59, + 1696
60, READ MORE
61, READ MORE
62, 3021
63, 524
64, Permalink
65, Report Abuse
66, Certified Buyer
67, , Anugul District
68, READ MORE
69, READ MORE
70, 3500
71, 614
72, Permalink
73, Report Abuse
74, Certified Buyer
75, , Mavelikkara
76, READ MORE
77, READ MORE
78, 1268
79, 212
80, Permalink
81, Report Abuse
82, Certified Buyer
83, , Jajapur District
84, All 7052 reviews
85, Q:
86, Are they heavy or not
87, A:
88, light weight shoe
89, WadhwaShoesCompany
90, Flipkart Seller
91, 277
92, 80
93, Report Abuse
94, Q:
95, Is it wash with water
96, A:
97, yes
98, Prince Thakur
99, Certified Buyer
100, 238
101, 90
102, Report Abuse
103, Q:
104, Is this item Watter resistance?
105, A:
106, No
107, WadhwaShoesCompany
108, Flipkart Seller
109, 221
110, 93
111, Report Abuse
112, Shop Now
113, Shop Now
114, Shop Now
115, Shop Now
116, Top Stories
117, MOST SEARCHED IN Footwear:
118, Mail Us:
119, Registered Office Address:
120, Become a Seller
121, Advertise
122, Gift Cards
123, Help Center
124, © 2007-2024 Flipkart.com
125, Flipkart.com
126, Back to top
